"tlaID","wikidataID","transliterationLUT","hieroglyphs","lexicalCategoryID","lexicalCategory","additionalLexicalCategoryID","additionalLexicalCategory","genderID","gender","referentTypeID","referentType","senses","sensesLanguage"
"169480","L1386031","tꜣf","𓏏𓍔𓄿𓏲𓆑𓊮𓉐","Q1084","noun","","","Q499327","masculine","","","kiln","EN"
"857968","L1397050","tꜣfs.yt","","Q1084","noun","","","Q1775415","feminine","","","[vessel]","EN"
"169490","L1388430","tꜣm.w","𓏏𓍔𓄿𓅓𓅱𓆙","Q1084","noun","","","","","","","[noun (worm?)]","EN"
"169550","L1393609","tꜣḥ","𓍔𓄿𓄑𓂡","Q24905","verb","","","","","","","to kill","EN"
"169560","L1386032","tꜣḥ","𓏏𓍔𓄿𓎛𓅯𓂻𓀀","Q1084","noun","","","Q499327","masculine","","","mischief-maker","EN"
"169520","L1384362","tꜣḥ","𓏏𓍔𓄿𓎛𓏲𓈗𓀜","Q24905","verb","","","","","","","to plunge (into water); to souse","EN"
"169570","L1389911","tꜣḥ","𓏏𓍔𓇉𓀀𓁐𓏪","Q1084","noun","","","Q499327","masculine","","","inhabitant of the Delta","EN"
"169620","L1393610","tꜣḥ.w","𓍔𓄿𓄑𓍯𓄿𓀐𓏪","Q1084","noun","","","Q499327","masculine","","","foes","EN"
"169600","L1391097","tꜣḥ.t","","Q1084","noun","","","Q1775415","feminine","","","irrigation runnel (?)","EN"
"169590","L1382903","tꜣḥ.t","𓏏𓍔𓄿𓎛𓏏𓏊𓏥","Q1084","noun","","","Q1775415","feminine","","","dregs (med.)","EN"
"169580","L1387461","tꜣḥ.t","","Q1084","noun","","","Q1775415","feminine","","","inhabitant of the Delta (f)","EN"
"855715","L1397250","tꜣḫb.tï","","Q34698","adjective","Q1054545","nisba","","","","","belonging to Takhebet","EN"
"169660","L1386641","tꜣš","","Q24905","verb","","","","","","","to fix the limits of; to divide","EN"
"169650","L1382054","tꜣš","𓏏𓍔𓄿𓈙𓈅","Q1084","noun","","","Q499327","masculine","","","boundary; border; region","EN"
"857972","L1391103","tꜣṯrn","","Q1084","noun","","","Q499327","masculine","","","[snake]","EN"
"169700","L1384757","ti̯","𓍘𓇋","Q24905","verb","","","","","","","to trample","EN"
"851521","L1397137","tꞽ","𓍘𓇋","Q36224","pronoun","Q34793275","demonstrative pronoun","","","","","[dem. pron. sing. f.]","EN"
"169720","L1391652","tꞽ","𓍘𓇋","Q184943","grammatical particle","","","","","","","[particle introducing a sentence]","EN"
"851183","L1391689","tꞽ","","Q36224","pronoun","Q468801","personal pronoun","","","","","you [encl. pron. sing. 2. c.]","EN"
"858002","L1396856","tꞽ","","Q1084","noun","","","Q499327","masculine","","","alter ego (or similar)","EN"
"858003","L1396857","tꞽ","","Q1084","noun","","","Q499327","masculine","","","[mineral]","EN"
"169800","L1394290","tꞽ.t","𓂇𓏏𓉐","Q1084","noun","","","Q1775415","feminine","","","chapel","EN"
"169670","L1395670","tꞽ.t","","Q1084","noun","","","Q1775415","feminine","","","pestle","EN"
"169740","L1394213","tꞽ.t","𓍘𓏏𓏤𓎬","Q1084","noun","","","Q1775415","feminine","","","[blood-of-Isis symbol]","EN"
"169790","L1391494","tꞽ.t","𓏏𓇋𓏏𓂇","Q1084","noun","","","Q1775415","feminine","","","image; form; sign","EN"
"169750","L1394403","tꞽ.t","𓏏𓇋𓏏𓂇","Q1084","noun","","","Q1775415","feminine","","","[the lower part of the Wedjat eye]","EN"
"169760","L1395672","tꞽ.t","𓏏𓇋𓏏𓂇","Q1084","noun","","","Q1775415","feminine","","","fracture, break","EN"
"169680","L1396321","tꞽ.t","","Q1084","noun","","","Q1775415","feminine","","","[a receptacle]","EN"
"169850","L1397042","tꞽ.t-štꜣ.t","𓂇𓏏𓈙𓇾𓏴𓏏","Q1084","noun","","","Q1775415","feminine","","","[standard]","EN"
"170070","L1397041","tꞽ.t-gb.t","𓏏𓇋𓏏𓂇𓎼𓃀𓏏𓏴","Q1084","noun","","","Q1775415","feminine","","","[aliquot part, fraction]","EN"
"169810","L1391896","tꞽ-šps","𓍘𓀼𓋴𓆭","Q1084","noun","","","","","","","[a tree with pleasant-smelling bark]","EN"
"851635","L1395716","tꞽ-tw","","Q1084","noun","","","","","","","[type of wood]","EN"
"852087","L1395576","tꞽꜣ","","Q1084","noun","","","Q499327","masculine","","","rejoicer","EN"
"863156","L1395256","tꞽꜣ","","Q1084","noun","","","Q499327","masculine","","","song of praise","EN"
"169880","L1394412","tꞽꜣ","𓏏𓇋𓄿𓄑","Q1084","noun","","","","","","","toothache","EN"
"169890","L1394319","tꞽꜣ","𓏏𓇋𓄿𓄑𓀁","Q24905","verb","","","","","","","to cry out","EN"
"169900","L1394639","tꞽꜣ","𓏏𓇋𓄿𓄑𓆰𓏥","Q1084","noun","","","Q499327","masculine","","","[a plant (med.)]","EN"
"450169","L1394671","tꞽꜣ.t","","Q1084","noun","","","Q1775415","feminine","","","[a mineral]","EN"
"169940","L1391813","tꞽꜥm","𓍘𓂝𓅓𓆰𓏥","Q1084","noun","","","Q499327","masculine","","","[a plant (med.)]","EN"
"169950","L1394178","tꞽw","𓍘𓅱𓀁","Q184943","grammatical particle","","","","","","","yes; indeed","EN"
"169960","L1395255","tꞽw","𓏏𓇋𓅱𓆰𓏥","Q1084","noun","","","Q499327","masculine","","","[a plant (med.)]","EN"
"885077","L1396474","Tywtwts","","Q147276","proper noun","Q115642102","royal name","","","","","Diodotos","DE"
"170030","L1395834","tꞽs","𓍘𓇋𓋴𓏛𓀜","Q24905","verb","","","","","","","to fix; to mount with","EN"
"884450","L1397049","tꞽs.t","","Q1084","noun","","","Q1775415","feminine","","","Genossin","DE"
"170050","L1396144","tꞽsw","𓍘𓇓𓅱𓆱","Q1084","noun","","","Q499327","masculine","","","[a staff]","EN"
"170060","L1394600","tꞽšs","𓍘𓇋𓈙𓋴","Q24905","verb","","","","","","","to grind; to crush","EN"
"170080","L1391724","tꞽtꞽ","𓏏𓇋𓏏𓇋𓂡","Q24905","verb","","","","","","","to trample","EN"
